Standard Work Content Title Name,Standard Work Content ID,Standard Work Content UID,Asset Family Name,File code associated,Maintenance Task ID
"TeleScope MTA: Service Level 4",	0,	0003466854,"MTA  QA  Asset Family",MTA-CC|MTA-BE|MTA-CB|MTA-BG|MTA-BD|MTA-CA,SL1|MTA-CC_FCO-MR32
"TeleScope MTA: Service Level 4",	0,	0003466854,"MTA-BC",MTA-BC,SL4
"Prepare Resources for Rig Up",	172519,	00286d77-69a9-4333-94e5-9d31e2b19335,"als_AGH-REDA-CR-ES",EQ-1254606|EQ-103138511|EQ-101923197|EQ-102911914|EQ-102759639|EQ-100830701|EQ-100576055|EQ-100453565|EQ-123789G|EQ-101298186|EQ-102022607|EQ-101072405|EQ-2004023|EQ-X237890|EQ-1296342|EQ-101467385|EQ-102828734|EQ-100629714|EQ-102022611|EQ-102022606|EQ-1295955|EQ-1251743|EQ-100748471|EQ-102736157|EQ-101366245|EQ-100112645|EQ-2004363|EQ-103196320|EQ-102853151|EQ-102949606|EQ-102022612|EQ-100066911|EQ-101300825|EQ-102022608|EQ-101256908|EQ-1254622|EQ-1309368|EQ-1296367|EQ-101948021|EQ-1295997|EQ-100561634|EQ-101982112|EQ-100537230|EQ-102022794|EQ-103062643|EQ-103141072|EQ-1237890|EQ-101106478|EQ-103196379|EQ-1309376,Main001008
"MT Execute R1 Requirements ( is conditional sub/child steps )",	8659,	91ed3f24-47dc-4ab5-aaf4-f410aadd200e,"E2E with Content Asset Type List",EQ-M805707|IV-SKF-45|1002233964|EQ-19247|EQ-M-525-40-001|1002233981|EQ-101400223|Q-80022216|EQ-SSM57501P0312|EQ-80010677|EQ-80010712|QVXP-F|EQ-80011535|SLIPS|AH-104|EQ-80034732|EQ-80038468|CL-PSTRIP|EQ-71001260|EQ-80004112|EQ-100002878|EQ-103467717|ARCONN,MXT271152|MXT118502|MXT118542|MXT118261|MXT271097|MXT119014|MXT118264|MXT118543|MXT118544|MXT118267
"LoggingEquipmentHead LEH-ST MaintenanceSWI–SLS-1",	172636,	0003612171,"HEADS-LEH",LEH-ST,MXT135622
"[Test TLM] - MT New Web Performance Test - 4",	114919,	fa9e1ea4-4842-457f-883f-2f44c6441e26,"ASD-MK ADI",ASD-MK,MXT339950
"Test the signature in execution",	136764,	36173bfd-380d-476a-b158-c328a418de9b,"E2E with Content Asset Type List",AH-104|EQ-80011535|QVXP-F|SLIPS|EQ-80010712|EQ-SSM57501P0312|EQ-80010677|Q-80022216|EQ-101400223|EQ-19247|1002233981|EQ-M-525-40-001|1002233964|IV-SKF-45|EQ-M805707|EQ-103467717|ARCONN|EQ-100002878|EQ-80004112|EQ-71001260|CL-PSTRIP|EQ-80038468|EQ-80034732,MXT124910
"MMA-BE - SL 1",	0,	MMA_BE-1,"MMA BE Asset Family",MMA-BE,SL1
"IRDV-BA - Assemble Unit [ce9788] for TRIM L2 (SL 2) SWIs",	0,	0003458537,"ASD-MK ADI",ASD-MK,MXT336938
"IRDV-BA - Assemble Unit [ce9788] for TRIM L2 (SL 2) SWIs",	0,	0003458537,"FGCA-B ADI",FGCA-B,MXT339861
"IRDV-BA - Assemble Unit [ce9788] for TRIM L2 (SL 2) SWIs",	0,	0003458537,"IRDV-BA",IRDV-BA,MXT4922
"Task with no mandatory step",	7588,	eeac59fd-bcdc-433c-8ecb-e86cc74ac299,"E2E with Content Asset Type List",EQ-80038468|EQ-80034732|CL-PSTRIP|EQ-71001260|EQ-80004112|ARCONN|EQ-103467717|EQ-100002878|AH-104|SLIPS|QVXP-F|EQ-80011535|EQ-80010677|EQ-SSM57501P0312|EQ-80010712|1002233964|EQ-M805707|IV-SKF-45|EQ-M-525-40-001|1002233981|EQ-19247|Q-80022216|EQ-101400223,MXT118505
"Sample SWI 1 - English",	312956,	9e7dd8ac-b3f3-4353-b864-787ff17a10a7,"GSB",GSB-LP20,MXT100479
"Determine Service Deliverables",	8948,	8701cbd7-97d4-422d-8866-466c56c392df,"SLPJ",SLPJ-HK|SLPJ-FAB|SLPJ-GAA|SLPJ-CA,MXT36379|MXT3282|MXT19469|MXT18616|MXT106067|MXT336473|MXT325146
"Determine Service Deliverables",	8948,	8701cbd7-97d4-422d-8866-466c56c392df,"FLXP-FAA TEST",FLXP-FAA,MXT49121
"Determine Service Deliverables",	8948,	8701cbd7-97d4-422d-8866-466c56c392df,"MHJ-1",MHJ-1,MXT6111
"Test for AltMOS - CRT with service actuals - MT Execute testing ",	172064,	fc29fe79-637d-4cc4-be42-c81608440eb6,"E2E with Content Asset Type List",EQ-80011535|SLIPS|QVXP-F|AH-104|EQ-M805707|EQ-80010712|EQ-SSM57501P0312|EQ-80010677|EQ-101400223|Q-80022216|EQ-19247|1002233981|EQ-M-525-40-001|IV-SKF-45|1002233964|EQ-80038468|EQ-80034732|EQ-80004112|EQ-71001260|CL-PSTRIP|EQ-100002878|EQ-103467717|ARCONN,MXT328463|MXT271941|MXT328473|MXT338156|MXT328501|MXT336341|MXT271946|MXT328421|MXT328503|MXT328471| MXT339812| MXT339813 |MXT339900|MXT339901|MXT339791|MXT339983|MXT339880|MXT339881|MXT339882|MXT339883|MXT271093|MXT271094|MXT271095|MXT339792|MXT339790|MXT339911|MXT339982|MXT340038|MXT339981|MXT339889|MXT339890|MXT339891|MXT339892|MXT339895|MXT339896|MXT339897|MXRY|MXT340047|MXT340048|MXT340018|9876|5432|MXT339997|MXT339998|MXT339999|MXT340000|MXT340001|MXT339980|MXT339709|MXT271088|MXT339984|1122A|MXT87320|MXT87321|MXT87322
"Conventional Sample Bottle (15,000 psi) Standard Work Instructions Major Certification CE - Non-DOT",	171762,	0003456114,"CSB-EA",CSB-EA,MXT8795
"Packers: Wash/Clean the HPPB-AB/HPSK-AB",	135149,	0003459411,"EXTF",EXTF-AA,SL2
"MT Execute - Service Actual with and without warning message",	775379,	d60bdf8d-2a81-4ef1-840c-09f8e0742a6d,"E2E with Content Asset Type List",EQ-80004112|CL-PSTRIP|EQ-71001260|EQ-80034732|EQ-80038468|EQ-100002878|ARCONN|EQ-103467717|1002233964|IV-SKF-45|EQ-M805707|EQ-M-525-40-001|1002233981|EQ-101400223|EQ-19247|Q-80022216|EQ-80010677|EQ-SSM57501P0312|EQ-80010712|AH-104|SLIPS|QVXP-F|EQ-80011535,MXT270555|MXT270597
"IRDV-AB/BA - Assemble Unit [ce9788] for TRIM L1 (SL 1) SWIs",	0,	0003458536,"X-11 Power Pack",TPS-933|TPS-937,MT123
"IRDV-AB/BA - Assemble Unit [ce9788] for TRIM L1 (SL 1) SWIs",	0,	0003458536,"IRDV-BA",IRDV-BA,MXT3987
"MT Inspect Testing",	321535,	de82f265-2d9d-477c-aedf-2480009b2225,"IRDV-BA",IRDV-BA,MXT7509
"MT Inspect Testing",	321535,	de82f265-2d9d-477c-aedf-2480009b2225,"E2E with Content Asset Type List",EQ-80038468|EQ-80034732|EQ-71001260|CL-PSTRIP|EQ-80004112|EQ-103467717|EQ-100002878|ARCONN|EQ-SSM57501P0312|EQ-80010677|EQ-80010712|AH-104|SLIPS|EQ-80011535|QVXP-F|EQ-101400223|Q-80022216|1002233981|EQ-M-525-40-001|EQ-19247|IV-SKF-45|EQ-M805707|1002233964,MXT124866
"MT Inspect Testing",	321535,	de82f265-2d9d-477c-aedf-2480009b2225,"XDH Asset types for inspect Development",XDH-100567980,MXT77667
"MT Inspect Testing",	321535,	de82f265-2d9d-477c-aedf-2480009b2225,"XDH-100733054",XDH-100733054,MXT7509
"AquaWatcher Surface (Mobile Version) - SL-1 - Wash and Clean Unit SWI",	134899,	0003455644,"TFTV-FEB",TFTV-FEB,mxt69364
"TFTV-F Disassemble the Unit [ce9776] SWIs",	0,	0003459107,"TFTV-FEB",TFTV-FEB,MXT4924|MXT4633|MXT3893|MXT2079
"Perform ESP Pump DIFA ",	187305,	a7722b70-4ecd-4dfa-8506-e71f488c261d,"E2E with Content Asset Type List",EQ-SSM57501P0312|EQ-80010677|EQ-80010712|QVXP-F|EQ-80011535|SLIPS|AH-104|IV-SKF-45|1002233964|EQ-M805707|EQ-M-525-40-001|1002233981|Q-80022216|EQ-19247|EQ-101400223|ARCONN|EQ-100002878|EQ-103467717|EQ-80004112|CL-PSTRIP|EQ-71001260|EQ-80034732|EQ-80038468,MXT340057|MXT340058
"After - Perform Equipment Visual Inspection",	739,	1074b431-aec7-44ab-8efd-e76a1344a59b,"20231009033546",,20231009033624
"After - Perform Equipment Visual Inspection",	739,	1074b431-aec7-44ab-8efd-e76a1344a59b,"20230905193514",,20230905193613
"After - Perform Equipment Visual Inspection",	739,	1074b431-aec7-44ab-8efd-e76a1344a59b,"20231011063527",,20231011063606
"After - Perform Equipment Visual Inspection",	739,	1074b431-aec7-44ab-8efd-e76a1344a59b,"20231021051608",,20231021051643
"MSSB-KC - SL 1",	8648,	MSSB_KC-1,"MSSB - KC Asset Family",MSSB-KC,SL1
"MSSB-KC - SL 0",	8640,	MSSB_KC-0,"MSSB - KC Asset Family",MSSB-KC,SL0
"bookmap 1A produ",	3,	0003438690,"cpl_EDMC-S",EC-STLS-EE|EC-STLS-HE|EC-STLS-DJ|EC-STLS-HY,MXT336726|MXT336728|MXT336725|MXT336727
"bookmap 1A produ",	3,	0003438690,"cpl_IV-CSUB-45",EQ-101878548,MXT336258|MXT336257|MXT336259
"bookmap 1A produ",	3,	0003438690,"cpl_EDMC-RKIT",EQ-100032537|EQ-90006-F00-00001,MXT336977|MXT336979|MXT336980|MXT336978
"FHD-G*-H* - SL1-TRIM (Mechanical) Maintenance SWI",	0,	0003457213,"FHD",FHD-GH|FHD-HC|FHD-HCB|FHD-HE|FHD-HCC|FHD-GK|FHD-HD|FHD-G|FHD-H|FHD-HDK|FHD-GHB,MXT5155
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-ME",EQ-10120-155-09|EQ-ME625011430505|EQ-ME375011441212|EQ-ME6251440505|EQ-10120-155-2|EQ-104381590|EQ-10120-137-D|EQ-ME375010831212|EQ-ME37501411212|EQ-ME6254840514|EQ-ME375011411212|EQ-10120-137-B|EQ-10120-155-10|EQ-10120-137-F|EQ-ME8001251616|EQ-ME37501P2031212|EQ-ME6252040505|EQ-10120-155-1|EQ-ME625840505|EQ-ME375012031212|EQ-ME625360505|EQ-10120-156-1|EQ-ME37504361212|EQ-ME6252780505|EQ-10120-137-A|EQ-ME6251402222|EQ-10120-137P-E|EQ-ME62501840505|EQ-10120-081-4|EQ-ME37501891212,I4250027511050|I4250027211050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_IV-PSTT-46",EQ-101414450|EQ-100955026,I4250028211050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_LRST-PLA",EQ-80001713,I4250022511050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-PK-DAMOD2-34",EQ-103188743,I4250021911050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-PK-MSET-DNL-13",EQ-61513-XBEE-DNL,I4250025711050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-RT-HEAT-ST",EQ-102834198|EQ-102838798|EQ-102741024|EQ-102905006,I4250027811050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_PKR-TEST-CLAMP",EQ-100694506|EQ-100360585|EQ-102071358|EQ-102679939|EQ-102950677,I4250028111050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-PRODUCT PILOT",EQ-103226512|EQ-103175909|EQ-103118678|EQ-103157920|EQ-80040431|EQ-102713020|EQ-103093995|EQ-EZRD372801001LE|EQ-102934886|EQ-51004-007-N|EQ-103481963|EQ-TSN4491005003LE|EQ-103132448|EQ-104444240|EQ-80015964|EQ-103233978|EQ-103333873|EQ-103159210|EQ-EZRD162601001LE|EQ-103154835|EQ-103162879|EQ-103159195|EQ-90003104|EQ-103154836|EQ-103203639|EQ-103197184|EQ-80064571|EQ-104229671|EQ-LC45601003LE|EQ-103303329|EQ-HPS374791900LE|EQ-46200-010-D-LE|EQ-HPS371191900LE|EQ-103662252|EQ-103118701|EQ-103132462|EQ-103132584|EQ-103143860,I4250022111050|I4250022011050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-7JB",EQ-71000350|EQ-71000270|EQ-80022398,I4250026011050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_PSTGAUGE_460",EQ-100813779|EQ-100830329|EQ-100813773,I4250026611050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_RRT-55-1720",EQ-80005837,I4250028711050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_SOLOCONN",EQ-100748275|EQ-101143778|EQ-100485259,I4250027111050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-PK-RET-QTX-40",EQ-100069967|EQ-69229-000-00001,I4250025911050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-SAN-QMWFST-HF-VS-N-1",EQ-101073311,I4250027011050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-SAN-PTKIT",EQ-100866438,I4250026511050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-9JB",EQ-80012038|EQ-80002287|EQ-80012470,I4250028811050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_TKIT-QVAFST",EQ-100496917,I4250020511050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-SAN-QMFBTST-ED-VS-N-1",EQ-101317156,I4250027611050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ML-SPACER-96",EQ-633761_TIW|EQ-80012498|EQ-39101-C00-00001|EQ-39101-E00-00001,I4250025811050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-PK-PLUG-BA-40",EQ-039930072|EQ-039931070,I4250026111050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-SP",EQ-103332573|EQ-103353409|EQ-80039428|EQ-71001584|EQ-71001203|EQ-71000263|EQ-80002270|EQ-80016890|EQ-80038458,I4250022411050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-TS",EQ-101692124|EQ-100065381|EQ-59149-000-00001|EQ-10-015-25000-00|EQ-100537907|EQ-TS107450007|EQ-101692122|EQ-100778921,I4250026211050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-LH-9XT",EQ-71001585-000|EQ-71001585-001|EQ-71001585-002,I4250026311050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_EXPJT-MANARA",EQ-102037256,I4250028511050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_PCOL",EQ-101391594|EQ-101392317,I4250027711050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_WRSV-TEST",EQ-100856671|EQ-100860801|EQ-100987162,I4250027411050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_SHEV-SPREAD",EQ-103383595,I4250022611050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-SAN-QMNM-60",EQ-100930925|EQ-101189602,I4250027311050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-SAN-QVAMFST-60",EQ-100781423|EQ-100187871|EQ-101442957,I4250026711050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_SSSV-ET-70",EQ-101109566|EQ-100582102,I4250022211050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-SAN-QASFB-60",EQ-100490335|EQ-101442964|EQ-101153714,I4250028411050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_MSS-WLAK-CH-55",EQ-101740236|EQ-M-555-20-550,I4250028911050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_QMFL-30",EQ-100466596,I4250026411050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_DTS-ASE",EQ-100666789|EQ-100568118,I4250022311050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_STIVST-HF-HS-N-1",EQ-102680032,I4250027911050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_ALT-PK-PS",EQ-103146686,I4250022811050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_IV-PST-46",EQ-100750493,I4250026911050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_XDH-550",EQ-100700752,I4250026811050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_SHIFT-OH-APS",EQ-102801028,I4250028011050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_PSWG-SLP",EQ-101589038,I4250028611050
"Prepare Parts",	174942,	34204831-5549-4a03-93e7-96c7fa51e2b4,"cpl_SSSV-DLOT-59",EQ-101507342,I4250028311050
"MT Inspect Version 30",	625715,	db562175-d002-4c54-a638-f19bcfda7643,"SSV",SSV-GLA|SSV-HD|SSV-GH|SSV-FHC|SSV-GCE|SSV-GCC|SSV-F|SSV-H|SSV-GHC|SSV-HHC|SSV-GCB|SSV-GCD|SSV-GK|SSV-HF|SSV-G|SSV-NHC,MXT127171
"MT Inspect Version 30",	625715,	db562175-d002-4c54-a638-f19bcfda7643,"SSB-QA for inspect testing - QA",SSB-QA,MXT12902
"MT Inspect Version 30",	625715,	db562175-d002-4c54-a638-f19bcfda7643,"MDT-FTU QA Testing",MDT-FTU,MXT23160
"MT Inspect Version 30",	625715,	db562175-d002-4c54-a638-f19bcfda7643,"LFT-A  QA",LFT-A,MXT127173
"MT Inspect Version 30",	625715,	db562175-d002-4c54-a638-f19bcfda7643,"SRS-FTU for inspect testing",SRS-FTU,MXT18295
"SEP-C/T/TE – SL3 / Major Recertification (Test Competency) Condition Based Maintenance SWI – Medium Tier",	171725,	0003595093,"SEP-C  T TE",SEP-T|SEP-C|SEP-TE,MXT119211|MXT111739|MXT111814
"Maintenance SWI - Muzic - MZGM-B - SL1",	135139,	0003460376,"MZGM",MZGM-B,MXT11008|MXT26300
"MT Inspect Version 4",	322568,	cb88bd7a-b37d-4ccf-901a-c17818e8b624,"E2E with Content Asset Type List",EQ-100002878|EQ-103467717|ARCONN|EQ-80038468|EQ-80034732|EQ-71001260|CL-PSTRIP|EQ-80004112|EQ-80011535|AH-104|EQ-M805707|SLIPS|QVXP-F|EQ-SSM57501P0312|EQ-80010677|EQ-80010712|EQ-M-525-40-001|EQ-19247|IV-SKF-45|1002233964|1002233981|EQ-101400223|Q-80022216,MXT124915|MXT136272|MXT290684|MXT290685|MXT290689 |MXT290690|MXT124911|MXT113844
"MT Inspect Version 4",	322568,	cb88bd7a-b37d-4ccf-901a-c17818e8b624,"SLPJ",SLPJ-HK|SLPJ-FAB|SLPJ-GAA|SLPJ-CA,MXT103649|MXT40242
"MT Inspect Version 4",	322568,	cb88bd7a-b37d-4ccf-901a-c17818e8b624,"XDH-100082882 for inspect",XDH-100082882,MXT109270
"TeleScope PMEA Service Level 4",	0,	0003488768,"PMEAH",PMEAH-AA|PMEAH-35AA,SL4
"Run in Hole Tool String",	124797,	002207db-43f3-4dcc-8768-0b4894c76440,"als_AGH-REDA-C-ARZ",EQ-102761080|EQ-100618714|EQ-100445664|EQ-2010102|EQ-100215338|EQ-100215499|EQ-101571067|EQ-100215496|EQ-100567902|EQ-101903566|EQ-100251565|EQ-2011624|EQ-101182637|EQ-101188686|EQ-2010100|EQ-100215336|EQ-101182698|EQ-102022796|EQ-100156465|EQ-100471024|EQ-101711949|EQ-100975986|EQ-100518659|EQ-101187046|EQ-100401543|EQ-101373790|EQ-100619102|EQ-100197789|EQ-102761081|EQ-102018873|EQ-2010103|EQ-101519236|EQ-100111966|EQ-101187044|EQ-100135613|EQ-101452751|EQ-101321650|EQ-101320683|EQ-100376145|EQ-100282057|EQ-100215492|EQ-101377914|EQ-100170150|EQ-101026083|EQ-2010106|EQ-100660193|EQ-101431362|EQ-100208102|EQ-102877733|EQ-100215475|EQ-101188693|EQ-2010105|EQ-103138080|EQ-100567950|EQ-101187872|EQ-102736100|EQ-100215330|EQ-100264663|EQ-100377108|EQ-2010127|EQ-102057888|EQ-100215477|EQ-100196719|EQ-102735454|EQ-2010110|EQ-100619159|EQ-100674276|EQ-100215325|EQ-100178447|EQ-100627204|EQ-101461202|EQ-100215490|EQ-100027281|EQ-2010101|EQ-100437206|EQ-2010128|EQ-2010107,Main009002|Main009003|Main009004|Main009005|Main009007|Main009009|Main0090010
"After - Replace Rod Rotator",	167675,	00d35bd6-b0ce-473b-86d9-f5b56bd2e66c,"MZTM family",MZTM-B,MXT24265
"TEST SWI with ALL OPTIONS FROM WORKRIGHT",	322372,	070ba62d-598e-4e1e-a06a-f55fc2ace238,"CPLTEST1",TRS33322D0036|CHI96605C0276,akhare6
"Test for AltMOS - CRT with service actuals - MT Execute testing - Edited",	173864,	706bc30e-cb5a-47f4-adbc-8004f03a7cf5,"SAPITT TEST",1002272282|1002234111|INTK-REDA-BOI-ARZ-400|PROT-MAX-LSBPB-540|PROT-MAX-LSBSB-400|1002249737|AGH-RC-C-ARZ-400|PROT-MAX-BPBSBSB-400|1000060087|CBL-LEAD-ELC-LPF|PROT-MAX-BSBSBSB-400|CBL-BLEAD-500-F|1002239522|1002250418|PROT-MAX-LSBPB|PMP-REDA-CR-ARZ-400|1002249861|1002245035|PMP-RC-CR-ARZ-400|1002249860,I4240016311070_OLD|I4240016311060_OLD|I4240016311050_OLD|I4240016311040_OLD|I4240016311030_OLD|I4240016311020|I4240016311010_OLD|IRAN11010
"Test for AltMOS - CRT with service actuals - MT Execute testing - Edited",	173864,	706bc30e-cb5a-47f4-adbc-8004f03a7cf5,"E2E with Content Asset Type List",EQ-80034732|EQ-80038468|EQ-71001260|CL-PSTRIP|EQ-80004112|EQ-100002878|ARCONN|EQ-103467717|EQ-80011535|AH-104|EQ-M805707|SLIPS|QVXP-F|EQ-SSM57501P0312|EQ-80010677|EQ-80010712|1002233981|Q-80022216|EQ-101400223|EQ-19247|IV-SKF-45|1002233964|EQ-M-525-40-001,MXT335450|MXT336321|MXT336322|MXT87313|MXT87314|MXT339049 |MXT339050|MXT339051|MXT339052|MXT339053|MXT339054|MXT331289|MXT331290|MXT331291|MXT325146|MXT87327|MXT340059|1144|MXT87310|MXT87311|MXT87312|MXT89831|MXT338261|MXT336287|MXT336288|MXT336182|MXT336184|MXT335372|MXT339132|MXT335432|MXT331302|MXT331303|MXT336180|MXT89829|MXT89830|MXT331272|MXT331273|MXT340060|MXT340061|MXT336588|MXT336589|MXT338263|MXT338264|MXT338872|MXT338873|MXT92762|MXT92760|MXT336592|MXT331266|MXT331267|MXT331268|MXT331253|MXT331254|zxc|I4240013411020|I4240013411030|MXT336323|MXT336591|MXT336590|MXT339044|MXT339045|MXT339046|MXT339047|MXT339048|MXT89851|MXT331282|MXT331283|MXT331284|MXT331285|MXT331286|MXT331252|MXT335373|MXT331274|MXT331275|MXT331277|MXT331278|MXT331279|MXT331280|MXT331281
"IRDV-AB/BA - Test Unit [ce9789] SWIs",	0,	0003458531,"IRDV-AB",IRDV-AB,MXT1889
"Conventional Sample Bottle Standard Work Instructions Standard TRIM (SL1)",	114093,	0003456111,"PIPK-DJ-C QA",PIPK-DJ-C,MXT35345
"Conventional Sample Bottle Standard Work Instructions Standard TRIM (SL1)",	114093,	0003456111,"PTV-GA test",PTV-GA,MXT336995 |MXT336996 
"Conventional Sample Bottle Standard Work Instructions Standard TRIM (SL1)",	114093,	0003456111,"CSB-IBZ",CSB-IBZ,MXT39207|MXT48674
"Conventional Sample Bottle Standard Work Instructions Standard TRIM (SL1)",	114093,	0003456111,"FGCA-B ADI",FGCA-B,MXT328499|MXT339228
"Conventional Sample Bottle Standard Work Instructions Standard TRIM (SL1)",	114093,	0003456111,"ASD-MK ADI",ASD-MK,MXT339930|MXT339929|MXT338308|MXT338309|MXT339313|MXT339183|MXT339986|MXT338129|MXT338130 |MXT339932
"Conventional Sample Bottle Standard Work Instructions Standard TRIM (SL1)",	114093,	0003456111,"SJB-FA QA Testing",SJB-FA,MXT5158
"MT Inspect Version 7",	476704,	beebfe10-e765-4fa1-a837-603cd770f2ab,"IRDV-BA",IRDV-BA,MXT69375
"Disassemble 4-in Quantum Retrieving Tool",	312379,	0003504174,"TFTV-FEB",TFTV-FEB,MXT69367
"Load Control Panel Software",	125101,	00bf0b9b-aafc-439e-9eed-d4b9c279072d,"als_INTK-REDA-RF",EQ-1012293|EQ-1115435|EQ-XN1007095|EQ-ZN1007095|EQ-1007095,Main0013008
"Single-Phase Reservoir Sampler (SRS-SRS-EX) CE-Major Recertification Maintenance Work Order",	172946,	0003461097,"SRS-EX Becky",SRS-EX,MXT8460|MXT40511
"Test for AltMOS - CRT with service actuals ( NO ACP changes )",	8810,	7e5f3e88-263d-4195-8341-f4f72735df7a,"E2E with Content Asset Type List",EQ-80004112|CL-PSTRIP|EQ-71001260|EQ-80034732|EQ-80038468|EQ-100002878|ARCONN|EQ-103467717|EQ-19247|EQ-M-525-40-001|1002233964|IV-SKF-45|EQ-M805707|EQ-101400223|Q-80022216|1002233981|AH-104|QVXP-F|SLIPS|EQ-80011535|EQ-80010677|EQ-SSM57501P0312|EQ-80010712,MXT339888|MXT339894|MXT339893|MXT339707|MXT339706|MXT328455|MXT328452|MXT328448|MXT271944|MXT336926|MXT336925|MXT336924|MXT328425|MXT328718|MXT328720|MXT331257|MXT331256|MXT331255|MXT328459|MXT328458|MXT328717|MXT328716|MXT328715|MXT328714|MXT336340|MXT331271|MXT331270|MXT331269|MXT328449|MXT328719|MXT328450|MXT328469
"Upper Limit and Lower Limit Debugging",	114917,	677edcdc-f97a-4089-9228-9e72017dbe21,"CSB-MA RM",CSB-MA,MXT340003
"Upper Limit and Lower Limit Debugging",	114917,	677edcdc-f97a-4089-9228-9e72017dbe21,"FGCA-B ADI",FGCA-B,MXT339985|MXT340002
